Customer Type,Salutation,First Name,Last Name,Company Name,Customer Display Name,Customer Email,Work Phone,Mobile,DOB,Card Number,PAN,Currency,Opening Balance,Department,Designation,Website URL,Tax Type,GST Treatment,GSTIN/UIN,Place Of Supply,Business Legal Name,Business Trade Name,VAT Number,Billing Attention,Billing Country,Billing AddressLine1,Billing AddressLine2,Billing City,Billing State,Billing PinCode,Billing Phone,Billing FaxNumber,Shipping Attention,Shipping Country,Shipping AddressLine1,Shipping AddressLine2,Shipping City,Shipping State,Shipping PinCode,Shipping Phone,Shipping FaxNumber,Remark
Individual,Mr.,Anahita,Dube,Som Kakar and Sur,Yasmin Som,aaina34@hotmail.com,9104785006,7082807501,Fri Jun 17 1977 05:30:00 GMT+0530 (India Standard Time),4145896789027110000,sAkyV10376,AED,40406.88,Accountant chartered public finance,Solicitor,[object Object],VAT,Consumer,hM0U7z5J6Z6r0c,Abu Dhabi,Kala-Kala,PLC,VAT36418665,Sahil Suri,United Arab Emirates,United Arab Emirates,United Arab Emirates,Eluru,Abu Dhabi,879775,911409521353,3917973475,Priyansh Brahmbhatt,United Arab Emirates,United Arab Emirates,United Arab Emirates,Vadodara,Abu Dhabi,687120,8034076302,911014654064,Nam deleniti optio vero quia dicta recusandae.
Business,Mr.,Ishaan,Dar,Agrawal-Wason,Tanya Devan,aniruddh79@saha.com,4660926884,913752636387,Tue Jul 20 1982 05:30:00 GMT+0530 (India Standard Time),2251246785487258,XcRrB86709,INR,9752.3,Barista,Chartered legal executive (England and Wales),[object Object],None,Consumer,UG2I6B1o6G0h2U,Punjab,Chawla-Khalsa,and Sons,VAT86474796,Gokul Saran,India,India,India,Ichalkaranji,Punjab,751639,4660254012,7627777562,Saksham Bansal,India,India,India,Amritsar,Punjab,367179,724141768,8986870894,Aliquid deserunt sapiente explicabo at fugit.
Business,Mr.,Vaibhav,Srinivasan,Krishnan-Varghese,Krish Bhat,talwarneelofar@som-sastry.com,917519507647,4401933536,Sun Sep 07 1986 05:30:00 GMT+0530 (India Standard Time),4661922729656318000,LHajf80571,INR,30596.76,Furniture designer,Therapist art,[object Object],None,Overseas,yR9b6G7m4O5L9u,Odisha,Walia LLC,Inc,VAT14198828,Riya Kota,India,India,India,Bulandshahr,Odisha,251472,5259264764,912525472599,Heer Sahota,India,India,India,Durgapur,Odisha,39975,4711324166,916663027325,Ab alias illo dolor neque.
Individual,Mr.,Aaryahi,D’Alia,Dhar Group,Stuvan Shetty,oarora@hotmail.com,913933330360,4035399103,Sun Jan 26 1964 05:30:00 GMT+0530 (India Standard Time),30031378691223,xHYbs78032,INR,1914.89,Secondary school teacher,Personnel officer,[object Object],GST,Registered Business,EO1Y6o9K4p5j3W,Jharkhand,Rout Sarna and Atwal,Ltd,VAT89906137,Mannat Zacharia,India,India,India,Thanjavur,Jharkhand,318499,910183240884,8826151395,Nishith Shukla,India,India,India,Srikakulam,Jharkhand,903256,2864205349,919327145701,Quas distinctio qui possimus quod repudiandae.
Business,Mr.,Lagan,Gaba,Ghosh Choudhury and Dhar,Vedika Jha,harya@sha.com,4039315776,5500428734,Tue Apr 19 1966 05:30:00 GMT+0530 (India Standard Time),6512874466269343,TdUXO56781,INR,37972.64,Therapist sports,Designer multimedia,[object Object],GST,Unregistered Business,Cv4Q8E0v1W8d8F,Kerala,Golla Ltd,Group,VAT80542034,Sahil Bumb,India,India,India,Bhimavaram,Kerala,24772,5611265551,6311527918,Tara Tak,India,India,India,Nellore,Kerala,990269,7826111870,913015106710,Aperiam quibusdam sunt harum sed incidunt ea.
Individual,Mr.,Amira,Khare,Ray Inc,Alisha Goswami,dharmajan40@zachariah.org,5098914205,919302085413,Thu Aug 29 1974 05:30:00 GMT+0530 (India Standard Time),6011105173219669,QZnjV03400,INR,34580.72,Fitness centre manager,Secretary Business,[object Object],GST,Consumer,rb3w9i8Q6r5z9n,Arunachal Pradesh,Din Wagle and Kurian,and Sons,VAT46037642,Madhav Rana,India,India,India,Buxar,Arunachal Pradesh,252552,4821059574,4204119261,Arnav Saran,India,India,India,Haridwar,Arunachal Pradesh,970464,2573465699,4859286735,Atque odio sit minima necessitatibus.
Business,Mr.,Anaya,Barad,Sant PLC,Misha Balan,aarav59@gmail.com,914048070755,6810548546,Sun Jun 12 1977 05:30:00 GMT+0530 (India Standard Time),2278071850919327,vANDm29289,AED,1224.8,Bonds trader,Scientist marine,[object Object],GST,Registered Business,KF9M0m3j1c5S0W,Umm Al Quwain,Setty Group,Ltd,VAT08093723,Indrans Buch,United Arab Emirates,United Arab Emirates,United Arab Emirates,Nashik,Umm Al Quwain,946433,911592166683,2471342198,Divit Vig,United Arab Emirates,United Arab Emirates,United Arab Emirates,Erode,Umm Al Quwain,264757,918365900510,2924264144,Nobis ea unde doloremque alias omnis fugiat.
Individual,Mr.,Pranay,Soni,Yadav Dubey and Setty,Charvi Batta,ishitagoel@basak.org,911091217951,911306741207,Wed Sep 06 2000 05:30:00 GMT+0530 (India Standard Time),180076324246596,mqnkG07967,AED,4300.82,Broadcast journalist,Special effects artist,[object Object],VAT,Unregistered Business,LJ5i8d9a2p0g4G,Fujairah,Shenoy Inc,and Sons,VAT61828569,Gokul Bhatnagar,United Arab Emirates,United Arab Emirates,United Arab Emirates,Ramagundam,Fujairah,587550,915952949074,4739163032,Miraya Mani,United Arab Emirates,United Arab Emirates,United Arab Emirates,Gaya,Fujairah,121141,2613517361,917984246307,Itaque asperiores cumque sed autem quas tenetur.
Business,Mr.,Suhana,Manda,Krish LLC,Hiran Kapur,jrajagopalan@sarma-ravel.org,910508685261,915013550237,Sun Mar 18 1956 05:30:00 GMT+0530 (India Standard Time),3542415926582445,cHhlR15909,AED,2782.04,Psychologist forensic,Financial manager,[object Object],None,Registered Business,ES5a9q2O6l5r5l,Ajman,Kari-Bose,Group,VAT26525666,Vritika Gade,United Arab Emirates,United Arab Emirates,United Arab Emirates,Vasai-Virar,Ajman,934282,917373289502,9015206651,Vihaan Guha,United Arab Emirates,United Arab Emirates,United Arab Emirates,Srinagar,Ajman,201658,8249280133,7555416413,Quod architecto ipsum quibusdam.
Individual,Mrs.,Ahana ,Loke,Shenoy Ltd,Nitya Kibe,bhasinhiran@khare-sarkar.com,8703631112,912767882376,Tue Feb 14 1995 05:30:00 GMT+0530 (India Standard Time),4313516979205777000,wXlLV80248,AED,3798.15,Broadcast journalist,Clinical research associate,[object Object],VAT,Consumer,uO5w0F1e1s4a5p,Umm Al Quwain,Wadhwa-Ben,PLC,VAT97758923,Kaira Vasa,United Arab Emirates,United Arab Emirates,United Arab Emirates,Ambala,Umm Al Quwain,403369,2826820746,914377835198,Shamik Gade,United Arab Emirates,United Arab Emirates,United Arab Emirates,Sangli-Miraj & Kupwad,Umm Al Quwain,862739,918811411506,9688287540,Odio deleniti quaerat animi laboriosam nulla.
Individual,Mrs.,Sahil,Vaidya,Lall Dada and Goel,Hiran Gupta,ojani@gmail.com,5090354198,2162101675,Tue May 29 1962 05:30:00 GMT+0530 (India Standard Time),3509455311554014,ygnpb04473,AED,46803.58,Glass blower/designer,Designer textile,[object Object],GST,Registered Business,lD7I6v8s1n6Y3G,Sharjah,Srivastava and Sons,Ltd,VAT20152680,Mannat Dora,United Arab Emirates,United Arab Emirates,United Arab Emirates,Barasat,Sharjah,393895,917992314070,8147070490,Shamik Date,United Arab Emirates,United Arab Emirates,United Arab Emirates,Dhanbad,Sharjah,558090,9535284355,919688279603,Cum nostrum inventore enim architecto.
Business,Mrs.,Reyansh,Bera,Bhardwaj Dubey and Bir,Advika Sampath,akarshbhatia@som.com,6001810088,9381452182,Wed Jan 17 1979 05:30:00 GMT+0530 (India Standard Time),563619408005,RHbGk67467,INR,28139.44,Clinical biochemist,Energy engineer,[object Object],None,Consumer,FM2q7X0o8R5Q9r,Tripura,Acharya-Golla,Group,VAT25904482,Ela Jhaveri,India,India,India,Etawah,Tripura,718239,4129683701,4514483899,Vedika Sachdev,India,India,India,Jamalpur,Tripura,494402,918018433777,6490962086,Ipsam minus consequatur delectus.
Individual,Mrs.,Saira,Chakrabarti,Batra-Vora,Kaira Sanghvi,hridaan82@ganesh.com,4492346321,5645586685,Fri Mar 24 1967 05:30:00 GMT+0530 (India Standard Time),4471876958831814000,WtcOf80604,INR,2591.91,Agricultural consultant,Therapist speech and language,[object Object],GST,Unregistered Business,lz8Y0P8N0c7k0o,Manipur,Dubey Sani and Lalla,Group,VAT98895693,Raunak Bail,India,India,India,Madhyamgram,Manipur,483994,876243071,910242920054,Charvi Seth,India,India,India,Hazaribagh,Manipur,710255,5810787009,6442101307,Sequi eveniet doloribus alias.
Business,Mrs.,Jivika,Kalla,Bedi-Kade,Dhruv Rajagopal,nirvidave@gmail.com,3704936790,914415399624,Mon Nov 25 2002 05:30:00 GMT+0530 (India Standard Time),6011059592108724,XCZAc80133,AED,14445.5,Teacher secondary school,Event organiser,[object Object],GST,Consumer,He0U4J5x5M3r3q,Abu Dhabi,Bhat-Lata,LLC,VAT52290695,Manikya Dara,United Arab Emirates,United Arab Emirates,United Arab Emirates,Ludhiana,Abu Dhabi,952103,917059870911,3571070905,Onkar Hegde,United Arab Emirates,United Arab Emirates,United Arab Emirates,Tumkur,Abu Dhabi,966817,482662550,1498485064,Nihil voluptates sunt sunt accusantium fuga.
Individual,Mrs.,Vedika,Kannan,Tailor Inc,Reyansh Thakur,lagan03@yahoo.com,1201893911,2908743244,Mon Apr 02 1984 05:30:00 GMT+0530 (India Standard Time),2255895061141512,Meuwg30975,AED,27432.89,Graphic designer,Artist,[object Object],GST,Registered Business,GZ8a2j9n0x0M0a,Sharjah,Shukla Anand and Khurana,Ltd,VAT58611214,Arnav Manda,United Arab Emirates,United Arab Emirates,United Arab Emirates,Parbhani,Sharjah,804809,3358926276,2253845075,Keya Srinivas,United Arab Emirates,United Arab Emirates,United Arab Emirates,Uluberia,Sharjah,846958,918444807525,2075942995,Aperiam minima iste laborum omnis earum.
Individual,Mrs.,Ayesha,Bawa,Kuruvilla Ltd,Zoya Rajagopal,jayaramanmohanlal@yahoo.com,1388694108,279239523,Sun Jan 30 1966 05:30:00 GMT+0530 (India Standard Time),4686519139341,HUlWP08036,INR,38021.94,Therapist music,Research scientist (life sciences),[object Object],VAT,Registered Business,RT6y0V8o6S6f5C,Arunachal Pradesh,Sura and Sons,PLC,VAT08226205,Vivaan Sule,India,India,India,Shahjahanpur,Arunachal Pradesh,491789,1687423855,7864595480,Nishith Amble,India,India,India,Nagpur,Arunachal Pradesh,587091,5053635348,3532931852,Corporis doloremque placeat tempore odit impedit.
Business,Mrs.,Hrishita,Yogi,Sahota Garg and Sachar,Shamik Kade,zshah@chaudhary.com,6000312691,910982223534,Thu Jul 29 1999 05:30:00 GMT+0530 (India Standard Time),676391436927,XBlDK68569,INR,13527.08,Administrator sports,Petroleum engineer,[object Object],None,Unregistered Business,dd7o9u7p4l0M2D,Maharashtra,Doshi Thaker and Gupta,Inc,VAT15350574,Aarna Lal,India,India,India,Khandwa,Maharashtra,645362,919759680856,914487742125,Bhamini Ganguly,India,India,India,Latur,Maharashtra,893897,4692902418,916354339302,Reprehenderit soluta facere officiis cum error.
Business,Mrs.,Rohan,Tank,Dhillon Inc,Elakshi Bath,siyachaudhary@gmail.com,125634608,1293594513,Sat Jan 07 2006 05:30:00 GMT+0530 (India Standard Time),4190228169790449000,XCsMU59469,INR,46334.61,Osteopath,Librarian public,[object Object],VAT,Consumer,Hr3J1I4V6q9D1U,Manipur,Rajagopalan Inc,Ltd,VAT46164697,Ojas Thaker,India,India,India,Chinsurah,Manipur,707147,8714721331,2437399232,Rohan Jha,India,India,India,Mira-Bhayandar,Manipur,926861,181067347,911798773479,Dolores quidem eius sed consequuntur.
Individual,Mrs.,Dhanuk,Keer,Char Som and Rao,Trisha Anne,reyansh66@tandon.com,7648837369,915083339995,Tue Jun 11 1974 05:30:00 GMT+0530 (India Standard Time),4627263930990956,paqvo64970,AED,45849.74,Clinical embryologist,Sports administrator,[object Object],None,Consumer,hK2n2P3G0S0D9N,Ras Al Khaimah,Dutt and Sons,Group,VAT82942250,Shalv Lal,United Arab Emirates,United Arab Emirates,United Arab Emirates,Sagar,Ras Al Khaimah,298989,911774588840,6407851270,Darshit Agrawal,United Arab Emirates,United Arab Emirates,United Arab Emirates,Burhanpur,Ras Al Khaimah,984265,892794863,911143283054,Cumque ipsa earum magnam recusandae est et.
Individual,Mrs.,Zara,Chokshi,Srinivas Desai and Banerjee,Nayantara Kamdar,trivedifarhan@yahoo.com,913976189136,1703824682,Sun May 17 1959 05:30:00 GMT+0530 (India Standard Time),6582723596965400,cDloO23834,INR,33271.85,Neurosurgeon,Recycling officer,[object Object],None,Unregistered Business,DR2c8g1c5Q5R4Y,Maharashtra,Chowdhury and Sons,and Sons,VAT08970939,Taran Bhakta,India,India,India,Dibrugarh,Maharashtra,416752,520283346,916985414225,Arhaan Dasgupta,India,India,India,Bhagalpur,Maharashtra,944691,916048391841,7567244800,Tempore nesciunt ea temporibus ut odit.
Individual,Mrs.,Taimur,Sarma,Kant Bawa and Bhakta,Anahi Hans,yuvaanhalder@bal.com,912691568222,7962107404,Fri Feb 16 1996 05:30:00 GMT+0530 (India Standard Time),180011604536952,iZGtA94933,INR,2655.74,Engineer drilling,Landscape architect,[object Object],GST,Unregistered Business,SG4A3r6W7t1f8M,Manipur,Varkey-Khurana,Ltd,VAT31580074,Devansh Upadhyay,India,India,India,Narasaraopet,Manipur,437002,6575036700,4905275802,Nehmat Manne,India,India,India,Aurangabad,Manipur,969725,2909537420,914922169714,Non aspernatur distinctio corrupti officiis illo.
Business,Mrs.,Vidur,Mangat,Gopal Gulati and Uppal,Farhan Savant,hirankalita@ram.com,9157816341,3271531336,Wed Sep 06 2000 05:30:00 GMT+0530 (India Standard Time),3540095883634330,jrTIl15507,AED,3866.82,Secretary Business,Radiographer therapeutic,[object Object],VAT,Overseas,rZ7d3g3K2u4x4w,Sharjah,Sura-Barad,Inc,VAT73635783,Eshani Kant,United Arab Emirates,United Arab Emirates,United Arab Emirates,Ambarnath,Sharjah,163925,913947478140,914057801735,Myra Garde,United Arab Emirates,United Arab Emirates,United Arab Emirates,Jalgaon,Sharjah,526772,1796006805,912177012610,Omnis veniam minima.
Individual,Mrs.,Aaryahi,Chacko,Ramesh Tripathi and Sarna,Ojas Sule,tsamra@sachdeva.net,916272963073,912398806710,Sun Mar 03 1996 05:30:00 GMT+0530 (India Standard Time),379066939483297,GFYme48863,INR,6393.1,Television/film/video producer,Geochemist,[object Object],None,Overseas,Ss8n4U6y3l1Y4z,Haryana,Chanda Dube and Gour,PLC,VAT75066411,Badal Kannan,India,India,India,Ludhiana,Haryana,621815,5388869631,5316048367,Nakul Din,India,India,India,Korba,Haryana,660069,2531273631,5855515728,Blanditiis amet laboriosam rerum.
Business,Mrs.,Veer,Tailor,Walia-Bumb,Jiya Swaminathan,jainritvik@bhagat.com,5673817525,6171424639,Tue Apr 17 1979 05:30:00 GMT+0530 (India Standard Time),3568043675631723,IzrZw92666,INR,39531.68,Writer,Regulatory affairs officer,[object Object],None,Unregistered Business,tO6p3R1d5U6X3A,Mizoram,Khare and Sons,LLC,VAT87439795,Badal Tailor,India,India,India,Coimbatore,Mizoram,126895,4807367807,919527490716,Trisha Sen,India,India,India,Raichur,Mizoram,327856,2477439879,5727194380,Earum accusantium cupiditate facilis.
Business,Mrs.,Vaibhav,Goda,Sarma and Sons,Manikya Rajagopalan,vanyadivan@hotmail.com,919026736176,6195303207,Fri Aug 22 1969 05:30:00 GMT+0530 (India Standard Time),3573742205771882,cpUgF65818,INR,36542.8,Engineer aeronautical,Engineer water,[object Object],VAT,Consumer,SW2K6c8E3k8O5S,Tamil Nadu,Kala Ltd,LLC,VAT80929283,Renee Tata,India,India,India,Unnao,Tamil Nadu,240039,2986591522,6822253989,Ira Shetty,India,India,India,Hajipur,Tamil Nadu,353410,5661888990,4101337645,Doloribus quod similique nam quisquam quas.
Business,Mrs.,Azad,Aurora,Mahajan-Kothari,Aniruddh Ganesan,anahita42@uppal.com,116621742,1521975931,Mon Jun 15 1981 05:30:00 GMT+0530 (India Standard Time),3569882763394747,DogGr77607,AED,15091.29,Proofreader,IT consultant,[object Object],None,Registered Business,Hj8E8F9J8Z0I4y,Abu Dhabi,Kata Gade and Dua,LLC,VAT78900275,Sana Khurana,United Arab Emirates,United Arab Emirates,United Arab Emirates,Gudivada,Abu Dhabi,40211,917038478434,7032138142,Anay Contractor,United Arab Emirates,United Arab Emirates,United Arab Emirates,Siliguri,Abu Dhabi,777779,9311708164,9362893509,Doloribus esse culpa corporis.
Business,Mrs.,Indranil,Ghosh,Ben-Das,Sahil Butala,samarth17@ranganathan.net,915274766039,7294211948,Wed Dec 04 1963 05:30:00 GMT+0530 (India Standard Time),3572493514924728,nRgxH05117,AED,35053.19,Associate Professor,Pension scheme manager,[object Object],VAT,Registered Business,pz3O2b2j0e2J5o,Fujairah,Gade-Buch,and Sons,VAT99541716,Shaan Bhandari,United Arab Emirates,United Arab Emirates,United Arab Emirates,Panvel,Fujairah,467608,9790162605,3059659660,Ira Sawhney,United Arab Emirates,United Arab Emirates,United Arab Emirates,Berhampur,Fujairah,265258,8237483796,4771491985,Dicta non repellendus recusandae cum doloremque.
Business,Mrs.,Pihu,Gara,Hora Ltd,Mohanlal Swaminathan,faiyaz25@yahoo.com,1881579017,7991964504,Mon Jan 05 1970 05:30:00 GMT+0530 (India Standard Time),501869690435,Uwmpk78026,INR,22038.16,Development worker community,Risk analyst,[object Object],GST,Unregistered Business,Sr7t9x3D5n9o4A,Telangana,Kalla Group,Inc,VAT86550291,Zaina Kar,India,India,India,Ambattur,Telangana,207253,1455298376,1335032317,Mamooty Virk,India,India,India,Singrauli,Telangana,793546,2166560459,7252216414,Fugit vero doloribus sit.
Individual,Mrs.,Aarav,Thakkar,Rama-Butala,Ishaan Deo,emirverma@wagle.com,915836377827,5727993933,Wed Jan 02 1963 05:30:00 GMT+0530 (India Standard Time),30150316874269,fHirI85284,INR,36817.97,Press sub,Patent examiner,[object Object],GST,Overseas,cW2K9g6Y6x3J0k,Uttarakhand,Dada Inc,Ltd,VAT39936065,Seher Kalla,India,India,India,Kirari Suleman Nagar,Uttarakhand,840702,3609856884,8777319709,Raghav Ratta,India,India,India,Allahabad,Uttarakhand,184884,124136031,910645491659,Dicta recusandae tenetur inventore cum.
Individual,Miss.,Vardaniya,Bajaj,Goswami PLC,Zoya Dhillon,sunderaaina@dixit.net,156298996,4512967216,Thu Feb 09 2006 05:30:00 GMT+0530 (India Standard Time),371722220384382,KjYvQ69316,AED,37995.59,Fish farm manager,Environmental manager,[object Object],VAT,Consumer,jd6N3w9b1g5t5m,Umm Al Quwain,Joshi Bir and Sarkar,LLC,VAT41716409,Jhanvi Sha,United Arab Emirates,United Arab Emirates,United Arab Emirates,Durgapur,Umm Al Quwain,332733,911109111189,911829475808,Raghav Sood,United Arab Emirates,United Arab Emirates,United Arab Emirates,Patiala,Umm Al Quwain,757599,593707276,3901883720,Dolorum possimus consectetur.
Individual,Miss.,Mehul,Ray,Walia-Sheth,Vritika Tella,gwalia@goyal.com,1301183491,9689733973,Sun May 14 1972 05:30:00 GMT+0530 (India Standard Time),3549865847121736,unqAt84659,AED,4891.35,Chief Technology Officer,Chartered loss adjuster,[object Object],GST,Consumer,pC9t4P8y9h8t3R,Sharjah,Gera-Raju,Ltd,VAT88051270,Myra Bail,United Arab Emirates,United Arab Emirates,United Arab Emirates,Firozabad,Sharjah,679361,7695768805,5127814992,Ayesha Madan,United Arab Emirates,United Arab Emirates,United Arab Emirates,Orai,Sharjah,348669,916380013567,7076320455,Eaque eos eveniet soluta dolores.
Business,Miss.,Eshani,Bumb,Dutta Joshi and Singh,Biju Ganesan,hreddy@maharaj.com,912307025566,647673063,Fri May 10 1968 05:30:00 GMT+0530 (India Standard Time),213194992280929,PPutG05837,AED,37345.64,Retail buyer,Television production assistant,[object Object],GST,Registered Business,qK7c6R0g6q3I1q,Abu Dhabi,Tank-Sarma,LLC,VAT81458484,Mannat Dua,United Arab Emirates,United Arab Emirates,United Arab Emirates,Chennai,Abu Dhabi,238432,6332228117,911006449360,Shalv Buch,United Arab Emirates,United Arab Emirates,United Arab Emirates,Bhiwandi,Abu Dhabi,32221,4688248421,917101026943,Ut perspiciatis culpa consequatur.
